subID,fileID,onset1_transcription_time,onset1_system_time,onset1_frame,offset1_transcription_time,offset1_system_time,offset1_frame,word1,utterances1,source_video_path,source_audio_path,extract_range_onset
5802,__20191206_24543,2009.188755,181.921755,4559,2010.250133,182.983133,4590,cut,you want me to cut it smaller,C:\bell\multiwork\experiment_58\included\__20191206_24543\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20191206_24543\speech_r\cam05.wav,55718
5802,__20191206_24543,2013.45452,186.18752,4687,2014.707921,187.440921,4724,cut,do you need me to cut it smaller,C:\bell\multiwork\experiment_58\included\__20191206_24543\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20191206_24543\speech_r\cam05.wav,55718
5804,__20191219_24593,1689.650639,239.517639,6287,1691.228051,241.095051,6334,cut,am i supposed to cut it in half i do not know,C:\bell\multiwork\experiment_58\included\__20191219_24593\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20191219_24593\speech_r\cam04.wav,44404
5806,__20220626_10023,429.919507,152.986507,3691,431.12305,154.19005,3727,cut,should i cut this in half,C:\bell\multiwork\experiment_58\included\__20220626_10023\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20220626_10023\speech_r\cam04.wav,9208
5807,__20200221_23185,2122.947854,108.580854,2358,2124.566423,110.199423,2407,cut,i am going to cut the peanut_butter and jelly,C:\bell\multiwork\experiment_58\included\__20200221_23185\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200221_23185\speech_r\cam05.wav,61331
5807,__20200221_23185,2198.146583,183.779583,4614,2200.07268,185.70568,4672,cut,you can have some peanut_butter and jelly should i cut it up,C:\bell\multiwork\experiment_58\included\__20200221_23185\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200221_23185\speech_r\cam05.wav,61331
5807,__20200221_23185,2303.750136,289.383136,7782,2304.640349,290.273349,7809,cut,i am going to cut this one,C:\bell\multiwork\experiment_58\included\__20200221_23185\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200221_23185\speech_r\cam05.wav,61331
5807,__20200221_23185,2371.738139,357.371139,9822,2372.927788,358.560788,9858,cut,okay i will cut this one,C:\bell\multiwork\experiment_58\included\__20200221_23185\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200221_23185\speech_r\cam05.wav,61331
5808,__20200227_24641,2210.250439,216.917439,5609,2211.867941,218.534941,5657,cut,i am going to cut it into rectangle this time,C:\bell\multiwork\experiment_58\included\__20200227_24641\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200227_24641\speech_r\cam04.wav,60700
5810,__20200303_23518,1652.398779,55.3987790000001,763,1653.099974,56.099974,784,cut,should i cut it,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5810,__20200303_23518,1654.331142,57.331142,821,1655.366628,58.366628,852,cut,should i cut the sandwich,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5810,__20200303_23518,1656.15751,59.15751,876,1658.138794,61.138794,935,cut,watch mommy is going to cut it in half,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5810,__20200303_23518,1731.911037,134.911037,3148,1734.210305,137.210305,3217,cut,i am going to cut cut cut the sandwich,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5810,__20200303_23518,1735.025648,138.025648,3242,1736.395424,139.395424,3283,cut,ready i am going to cut it again,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5810,__20200303_23518,1860.694479,263.694479,7012,1862.09687,265.09687,7054,cut,we are going to cut it in half okay,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5810,__20200303_23518,1962.123161,365.123161,10055,1964.349047,367.349047,10121,cut,ready i am going to cut it in half okay oh,C:\bell\multiwork\experiment_58\included\__20200303_23518\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20200303_23518\speech_r\cam04_5810.wav,48810
5813,__20211209_10011,162.651522,83.051522,1593,164.561363,84.961363,1650,cut,yes looks good let us cut it up,C:\bell\multiwork\experiment_58\included\__20211209_10011\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20211209_10011\speech_r\cam03.wav,3288
5813,__20211209_10011,398.032202,318.432202,8654,399.106125,319.506125,8686,cut,cut it up,C:\bell\multiwork\experiment_58\included\__20211209_10011\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20211209_10011\speech_r\cam03.wav,3288
5813,__20211209_10011,468.348029,388.748029,10763,470.902224,391.302224,10840,cut,speechx on here cut it in half,C:\bell\multiwork\experiment_58\included\__20211209_10011\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20211209_10011\speech_r\cam03.wav,3288
5814,__20211213_10008,97.111517,124.544517,2837,97.513949,124.946949,2849,cut,cut it,C:\bell\multiwork\experiment_58\included\__20211213_10008\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20211213_10008\speech_r\cam03.wav,77
5814,__20211213_10008,160.017372,187.450372,4725,161.052197,188.485197,4756,cut,and then you cut them,C:\bell\multiwork\experiment_58\included\__20211213_10008\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20211213_10008\speech_r\cam03.wav,77
5814,__20211213_10008,262.142254,289.575254,7788,264.390009,291.823009,7856,cut,we got to cut it in half so will we got two piece again,C:\bell\multiwork\experiment_58\included\__20211213_10008\cam07_frames_p,C:\bell\multiwork\experiment_58\included\__20211213_10008\speech_r\cam03.wav,77
